URL,Type,Subtype,Price,Bedroom,Living_area,Locality,Swimming_pool,Garden_area,Surface_of_land,Terrace
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10653822,house,mansion,1950000,6,497,1000,No,40,242,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/9893520,house,house,465000,4,229,1000,No,,110,Yes
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/9402335,house,mixed use building,1200000,3,568,1000,No,,196,Yes
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10652783,house,mixed use building,385000,1,80,1000,No,,27,Yes
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10492906,house,mansion,990000,10,300,1000,No,40,200,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10280075,house,house,325000,1,77,1000,No,,88,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10596897,house,house,375000,4,110,1000,No,,26,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10488148,house,apartment block,849000,5,230,1000,No,,230,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10641195,house,house,580000,4,179,1000,No,,80,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10573731,house,house,250000,4,75,1000,No,,17,Yes
https://www.immoweb.be/en/classified/house/for-sale/brussels%20city/1000/10621573,house,house,749000,7,250,1000,No,30,111,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10571543,house,apartment block,1950000,10,550,1000,No,,106,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10663647,house,apartment block,1500000,4,420,1000,No,30,0,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10433751,house,house,420000,2,102,1000,No,,30,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10541138,house,house,575000,5,220,1000,No,48,120,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10393289,house,apartment block,670000,5,234,1000,No,30,100,Yes
https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/10540761,house,house,1290000,4,700,1000,No,,339,Yes
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10326532,house,mixed use building,1299000,5,526,1000,No,,105,Yes
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10641187,house,mixed use building,675000,7,300,1000,No,,0,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10655471,house,house,595000,4,293,1000,No,70,245,Yes
https://www.immoweb.be/en/classified/exceptional-property/for-sale/brussels%20city/1000/10654308,house,exceptional property,960000,6,353,1000,No,290,1090,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10519833,house,house,2200000,4,276,1000,No,50,136,Yes
https://www.immoweb.be/en/classified/villa/for-sale/brussels%20city/1000/10604379,house,villa,2990000,5,500,1000,No,,12387,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10650067,house,apartment block,645000,5,353,1000,No,35,0,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10646560,house,apartment block,3600000,14,946,1000,No,20,565,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10492935,house,house,410000,2,100,1000,No,,109,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10388903,house,house,550000,2,82,1000,No,,0,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10589429,house,apartment block,625000,6,350,1000,No,200,411,Yes
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10545252,house,house,795000,6,279,1000,No,,98,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10100295,house,apartment block,825000,5,255,1000,No,30,107,Yes
https://www.immoweb.be/en/classified/house/for-sale/seilles/5300/10664319,house,house,249000,5,150,5300,No,,500,Yes
https://www.immoweb.be/en/classified/apartment/for-sale/berchem%20%28antwerpen%29/2600/10664318,apartment,apartment,249000,2,91,2600,No,,,Yes
https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10664316,house,house,335000,2,111,1420,No,,518,Yes
https://www.immoweb.be/en/classified/exceptional-property/for-sale/sint-amandsberg/9040/10664315,house,exceptional property,355000,4,135,9040,No,,92,Yes
https://www.immoweb.be/en/classified/house/for-sale/braives/4260/10664310,house,house,399000,4,181,4260,No,,1343,Yes
https://www.immoweb.be/en/classified/house/for-sale/braives/4260/10664309,house,house,330000,4,158,4260,No,,938,Yes
https://www.immoweb.be/en/classified/house/for-sale/zottegem/9860/10664306,house,house,159000,2,115,9860,No,,54,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/anderlecht/1070/10664305,house,apartment block,399000,0,144,1070,No,,53,Yes
https://www.immoweb.be/en/classified/villa/for-sale/arquennes/7181/10664304,house,villa,450000,5,176,7181,Yes,,1100,Yes
https://www.immoweb.be/en/classified/house/for-sale/dworp/1653/10664300,house,house,399000,3,280,1653,No,,330,Yes
https://www.immoweb.be/en/classified/house/for-sale/humain/6900/10664293,house,house,459000,4,234,6900,No,1132,1309,Yes
https://www.immoweb.be/en/classified/house/for-sale/herentals%20%28olen%29/2200/10664292,house,house,465000,3,293,2200,No,,814,Yes
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10664289,house,house,780000,5,233,1030,No,33,100,Yes
https://www.immoweb.be/en/classified/villa/for-sale/deux-acren/7864/10664288,house,villa,485000,4,270,7864,No,,1511,Yes
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wellin/6921/10664281,house group,house group,335000 - 335000,,None,6921,No,,,Yes
https://www.immoweb.be/en/classified/villa/for-sale/lessines%20-%20deux-acren/7860/10664280,house,villa,485000,4,270,7860,No,,1511,Yes
https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10664278,house,house,525000,4,155,1420,No,,578,Yes
https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/10341300,house,house,301000,3,129,8550,No,,123,Yes
https://www.immoweb.be/en/classified/house/for-sale/ciply/7024/10664276,house,house,245000,2,276,7024,No,150,358,Yes
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10664275,apartment,apartment,395000,2,92,1140,No,,,Yes
https://www.immoweb.be/en/classified/villa/for-sale/%C3%89caussinnes/7190/10664273,house,villa,875000,5,260,7190,No,,6347,Yes
https://www.immoweb.be/en/classified/villa/for-sale/nivelles/1400/10664264,house,villa,875000,5,260,1400,No,,6347,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/genval/1330/10664261,house,apartment block,1100000,7,450,1330,No,,50,Yes
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/10664260,house,house,289000,4,170,9160,No,,157,Yes
https://www.immoweb.be/en/classified/house/for-sale/herve/4650/10664258,house,house,199000,3,130,4650,No,60,88,Yes
https://www.immoweb.be/en/classified/villa/for-sale/wommelgem/2160/10664257,house,villa,549000,3,230,2160,No,,842,Yes
https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4030/10664256,house,house,232000,3,152,4030,No,,180,Yes
https://www.immoweb.be/en/classified/house/for-sale/seneffe/7180/10584354,house,house,175000,3,105,7180,No,,74,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1050/10664254,house,apartment block,950000,0,285,1050,No,,130,Yes
https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1050/10664253,house,apartment block,850000,0,240,1050,No,,45,Yes
